Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,69.099998,69.709999,68.589996,69.709999,68.737663,3650173
2020-08-20,69.000000,69.000000,67.809998,68.180000,67.228996,5006562
2020-08-21,68.410004,68.709999,67.629997,68.330002,67.376907,4500601
2020-08-24,68.550003,69.750000,68.510002,69.639999,68.668633,4815357
2020-08-25,69.739998,71.519997,69.669998,69.919998,68.944733,7767600
2020-08-26,69.800003,70.720001,69.680000,70.500000,69.516647,3771484
2020-08-27,70.580002,70.660004,69.699997,70.000000,69.023613,5011403
2020-08-28,70.400002,71.470001,70.000000,70.790001,69.802597,7269454
2020-08-31,70.940002,71.500000,69.629997,69.629997,68.658783,4545406
2020-09-01,70.029999,70.150002,68.830002,69.669998,68.698219,6353028
2020-09-02,69.970001,70.199997,68.709999,69.199997,68.234772,6235472
2020-09-03,69.750000,70.660004,69.120003,69.370003,68.402405,6919369
2020-09-04,69.099998,70.220001,68.559998,69.290001,68.323517,7486715
2020-09-07,69.839996,70.589996,69.279999,70.440002,69.457481,4865997
2020-09-08,70.440002,70.690002,69.320000,69.320000,68.353104,7187369
2020-09-09,69.309998,70.199997,68.809998,70.199997,69.220825,6587686
2020-09-10,70.199997,70.559998,69.750000,70.290001,69.309578,4818109
2020-09-11,70.029999,70.260002,68.889999,69.080002,68.116447,5845783
2020-09-14,69.570000,70.360001,69.360001,69.800003,68.826408,7176788
2020-09-15,69.800003,70.379997,69.129997,69.129997,68.165756,8017564
2020-09-16,69.550003,70.489998,69.300003,70.489998,69.506783,7147058
2020-09-17,69.830002,69.919998,69.099998,69.660004,68.688362,7158729
2020-09-18,69.480003,69.620003,68.330002,68.370003,67.416351,11846193
2020-09-21,67.559998,67.900002,64.570000,65.400002,64.487785,15673101
2020-09-22,65.930000,66.529999,65.410004,66.000000,65.079399,7808688
2020-09-23,66.010002,67.599998,65.559998,66.400002,65.473831,7940082
2020-09-24,65.620003,67.540001,65.620003,66.580002,65.651321,8294627
2020-09-25,66.720001,67.379997,66.139999,66.309998,65.385078,5774045
2020-09-28,67.279999,68.230003,67.099998,68.230003,67.278313,8702570
2020-09-29,68.230003,68.230003,67.639999,67.739998,66.795135,7006523
2020-09-30,67.559998,68.750000,67.339996,68.309998,67.357185,7078360
2020-10-01,68.919998,69.300003,68.230003,69.169998,68.205193,8069688
2020-10-02,68.599998,69.099998,68.040001,68.889999,67.929108,7309971
2020-10-05,68.989998,70.690002,68.800003,70.650002,69.664558,7779154
2020-10-06,70.680000,72.330002,70.599998,71.830002,70.828094,7852997
2020-10-07,71.629997,72.330002,71.129997,71.129997,70.137848,6649223
2020-10-08,71.339996,71.750000,71.080002,71.650002,70.650597,4036438
2020-10-09,71.839996,72.099998,71.070000,71.400002,70.404083,4536812
2020-10-12,71.559998,72.459999,71.430000,71.519997,70.522408,4430984
